愛,アイ,いとしい,love; affection; favourite
圧,アツ エン オウ,おす へす おさえる,pressure; push; overwhelm; oppress; dominate
暗,アン,くらい,darkness; disappear; shade; informal; grow dark; be blinded
位,イ,くらい ぐらい,rank; grade; throne; crown; about; some
依,イ エ,よる,reliant; depend on; consequently; therefore; due to
偉,イ,えらい,admirable; greatness; remarkable; conceited; famous; excellent
囲,イ,かこむ かこう かこい,surround; besiege; store; paling; enclosure; encircle; preserve; keep
委,イ,ゆだねる,committee; entrust to; leave to; devote; discard
易,エキ イ,やさしい やすい,easy; fortune-telling; ready to; simple; divination
移,イ,うつる うつす,shift; move; change; drift; catch (cold fire); pass into
胃,イ,,stomach; paunch; crop; craw
衣,イ エ,ころも きぬ,garment; clothes; dressing
違,イ,ちがう ちがい ちがえる たがう たがえる,difference; differ
域,イキ,,range; region; limits; stage; level
育,イク,そだつ そだち そだてる はぐくむ,bring up; grow up; raise; rear
印,イン,しるし しるす,stamp; seal; mark; imprint; symbol; emblem; trademark; evidence; souvenir; India
因,イン,よる ちなむ,cause; factor; be associated with; depend on; be limited to
引,イン,ひく ひき ひき- ひける,pull; tug; jerk; admit; install; quote; refer to
宇,ウ,,eaves; roof; house; heaven
羽,ウ,は わ はね,feathers; counter for birds rabbits
雲,ウン,くも,cloud
営,エイ,いとなむ いとなみ,occupation; camp; perform; build; conduct (business)
栄,エイ ヨウ,さかえる はえ はえる え,flourish; prosperity; honor; glory; splendor
永,エイ,ながい,eternity; long; lengthy
泳,エイ,およぐ,swim
鋭,エイ,するどい,pointed; sharpness; edge; weapon; sharp; violent
液,エキ,,fluid; liquid; juice; sap; secretion
越,エツ オツ,こす こえる,surpass; cross over; move to; exceed; Vietnam
園,エン,その,park; garden; yard; farm
延,エン,のびる のべる のべ のばす,prolong; stretching
演,エン,,performance; act; play; render; stage
煙,エン,けむる けむり けむい,smoke
遠,エン オン,とおい,distant; far
塩,エン,しお,salt
汚,オ,けがす けがれる けがらわしい よごす よごれる きたない,dirty; pollute; disgrace; rape; defile
央,オウ,,center; middle
奥,オウ オク,おくまる くま,heart; interior
押,オウ,おす おし- おっ- おさえる おさえる,push; stop; check; subdue; attach; seize; weight; shove; press; seal; do in spite of
横,オウ,よこ,sideways; side; horizontal; width; woof
欧,オウ,うたう はく,Europe
王,オウ,,king; rule; magnate
黄,コウ オウ,き こ-,yellow
億,オク,,hundred million; 10**8
温,オン,あたたか あたたかい あたたまる あたためる ぬく,warm
化,カ ケ,ばける ばかす ふける けする,change; take the form of; influence; enchant; delude; -ization
加,カ,くわえる くわわる,add; addition; increase; join; include; Canada
可,カ コク,,can; passable; mustnt; should not; do not
科,カ,,department; course; section
果,カ,はたす はたす はてる はて,fruit; reward; carry out; achieve; complete; end; finish; succeed
河,カ,かわ,river
荷,カ,に,baggage; shoulder-pole load; bear (a burden); shoulder (a gun); load; cargo; freight
菓,カ,,candy; cakes; fruit
課,カ,,chapter; lesson; section; department; division; counter for chapters (of a book)
貨,カ,,freight; goods; property
過,カ,すぎる すごす あやまつ あやまち,overdo; exceed; go beyond; error
介,カイ,,jammed in; shellfish; mediate; concern oneself with
解,カイ ゲ,とく とかす とける ほどく ほどける わかる さとる,unravel; notes; key; explanation; understanding; untie; undo; solve; answer; cancel; absolve; explain; minute
回,カイ エ,まわる まわす まわし- もとおる かえる,-times; round; game; revolve; counter for occurrences
快,カイ,こころよい,cheerful; pleasant; agreeable; comfortable
改,カイ,あらためる あらたまる,reformation; change; modify; mend; renew; examine; inspect; search
械,カイ,かせ,contraption; fetter; machine; instrument
灰,カイ,はい,ashes; puckery juice; cremate
皆,カイ,みな みんな,all; everything
絵,カイ エ,,picture; drawing; painting; sketch
階,カイ,きざはし,storey; stair; counter for storeys of a building
貝,バイ,かい,shellfish
害,ガイ,,harm; injury
各,カク,おのおの,each; every; either
格,カク コウ キャク ゴウ,,status; rank; capacity; character; case (law grammar)
確,カク コウ,たしか たしかめる,assurance; firm; tight; hard; solid; confirm; clear; evident
覚,カク,おぼえる さます さめる さとる,memorize; learn; remember; awake; sober up
角,カク,かど つの,angle; corner; square
革,カク,かわ,leather; become serious; skin; hide; pelt
額,ガク,ひたい,forehead; tablet; plaque; framed picture; sum; amount; volume
掛,カイ ケイ,かける かけ かかる かかり かかり,hang; suspend; depend; arrive at; tax; pour
割,カツ,わる わり わり われる さく,proportion; comparatively; divide; cut; separate; split
活,カツ,いきる いかす いける,lively; resuscitation; being helped; living
乾,カン ケン,かわく かわかす ほす ひる いぬい,drought; dry; dessicate; drink up; heaven; emperor
寒,カン,さむい,cold
刊,カン,,publish; carve; engrave
巻,カン ケン,まく まき まき,scroll; volume; book; part; roll up; wind up; tie; coil; counter for texts (on book scrolls)
完,カン,,perfect; completion; end
官,カン,,bureaucrat; the government
干,カン,ほす ほし- ひる,dry; parch
患,カン,わずらう,afflicted; disease; suffer from; be ill
感,カン,,emotion; feeling; sensation
慣,カン,なれる ならす,accustomed; get used to; become experienced
換,カン,かえる かわる,interchange; period; charge; change?
汗,カン,あせ,sweat; perspire
甘,カン,あまい あまえる あまやかす うまい,sweet; coax; pamper; be content; sugary
管,カン,くだ,pipe; tube; wind instrument; drunken talk
簡,カン,,simplicity; brevity
缶,カン,かま,tin can; container
観,カン,みる しめす,outlook; look; appearance; condition; view
関,カン,せき かかわる からくり かんぬき,connection; barrier; gateway; involve; concerning
丸,ガン,まる まるめる まるい,round; full; month; perfection; -ship; pills; make round; roll up; curl up; seduce; explain away
含,ガン,ふくむ ふくめる,include; bear in mind; understand; cherish
岸,ガン,きし,beach
岩,ガン,いわ,boulder; rock; cliff
顔,ガン,かお,face; expression
願,ガン,ねがう,petition; request; vow; wish; hope
危,キ,あぶない あやうい あやぶむ,dangerous; fear; uneasy
喜,キ,よろこぶ よろこばす,rejoice; take pleasure in
寄,キ,よる よせる,draw near; stop in; bring near; gather; collect; send; forward
希,キ ケ,まれ,hope; beg; request; pray; beseech; Greece; dilute (acid); rare; few; phenomenal
幾,キ,いく- いくつ いくら,how many; how much; how far; how long
机,キ,つくえ,desk; table
期,キ ゴ,,period; time; date; term
機,キ,はた,mechanism; opportunity; occasion; machine; airplane
祈,キ,いのる,pray; wish
季,キ,,seasons
規,キ,,standard; measure
記,キ,しるす,scribe; account; narrative
技,ギ,わざ,skill; art; craft; ability; feat; performance; vocation; arts
疑,ギ,うたがう,doubt; distrust; be suspicious; question
議,ギ,,deliberation; consultation; debate; consideration
喫,キツ,,consume; eat; drink; smoke; receive (a blow)
詰,キツ キチ,つめる つめ つまる つむ,packed; close; pressed; reprove; rebuke; blame
客,キャク カク,,guest; visitor; customer; client
逆,ギャク ゲキ,さか さかさ さからう,inverted; reverse; opposite; wicked
久,キュウ ク,ひさしい,long time; old story
吸,キュウ,すう,suck; imbibe; inhale; sip
求,キュウ グ,もとめる,request; want; wish for; require; demand
球,キュウ,たま,ball; sphere
給,キュウ,たまう たもう,salary; wage; gift; allow; grant; bestow on
旧,キュウ,ふるい もと,old times; old things; old friend; former; ex-
居,キョ コ,いる おる,reside; to be; exist; live with
巨,キョ,,gigantic; big; large; great
許,キョ,ゆるす もと,permit; approve
漁,ギョ リョウ,あさる,fishing; fishery
供,キョウ ク クウ グ,そなえる とも,submit; offer; present; serve (meal); accompany
競,キョウ ケイ,きそう せる,emulate; compete with; bid; sell at auction; bout; contest; race
共,キョウ,とも ともに,together; both; neither; all; and; alike; with
協,キョウ,,co-; cooperation
叫,キョウ,さけぶ,shout; exclaim; yell
境,キョウ ケイ,さかい,boundary; border; region
恐,キョウ,おそれる おそる おそろしい こわい こわがる,fear; dread; awe
挟,キョウ ショウ,はさむ はさまる わきばさむ さしはさむ,pinch; between
橋,キョウ,はし,bridge
況,キョウ,まして いわんや おもむき,condition; situation
胸,キョウ,むね むな-,bosom; breast; chest; heart; feelings
局,キョク,つぼね,bureau; board; office; affair; conclusion; court lady; lady-in-waiting; her apartment
曲,キョク,まがる まげる,bend; music; melody; composition; pleasure; injustice; fault; curve; crooked; perverse; lean
極,キョク ゴク,きわめる きわまる きわまり きわみ きめる きまる,poles; settlement; conclusion; end; highest rank; electric poles; very; extremely; most; highly; 10**48
玉,ギョク,たま たま-,jewel; ball
勤,キン ゴン,つとめる つとまる いそしむ,diligence; become employed; serve
均,キン,ならす,level; average
禁,キン,,prohibition; ban; forbid
区,ク オウ コウ,,ward; district
苦,ク,くるしい くるしむ くるしめる にがい にがる,suffering; trial; worry; hardship; feel bitter; scowl
具,グ,そなえる つぶさに,tool; utensil; means; possess; ingredients; counter for armor suits sets of furniture
偶,グウ,たま,accidentally; even number; couple; man & wife; same kind
隅,グウ,すみ,corner; nook
掘,クツ,ほる,dig; delve; excavate
靴,カ,くつ,shoes
君,クン,きみ,old boy; name-suffix
訓,クン キン,おしえる よむ くんずる,instruction; Japanese character reading; explanation; read
群,グン,むれる むれ むら むらがる,flock; group; crowd; herd; swarm; cluster
軍,グン,,army; force; troops; war; battle
係,ケイ,かかる かかり かかわる,person in charge; connection; duty; concern oneself
傾,ケイ,かたむく かたむける かたぶく かたげる かしげる,lean; incline; tilt; trend; wane; sink; ruin; bias
型,ケイ,かた,mould; type; model
形,ケイ ギョウ,かた かたち なり,shape; form; style
敬,ケイ キョウ,うやまう,awe; respect; honor; revere
景,ケイ,,scenery; view
経,ケイ キョウ,へる たつ たていと はかる のり,sutra; longitude; pass thru; expire; warp
警,ケイ,いましめる,admonish; commandment
軽,ケイ,かるい かろやか かろんじる,lightly; trifling; unimportant
芸,ゲイ ウン,うえる のり わざ,technique; art; craft; performance; acting; trick; stunt
迎,ゲイ,むかえる,welcome; meet; greet
劇,ゲキ,,drama; play
欠,ケツ ケン,かける かく あくび,lack; gap; fail
決,ケツ,きめる きまる さく,decide; fix; agree upon; appoint
血,ケツ,ち,blood
件,ケン,くだん,affair; case; matter; item
券,ケン,,ticket
権,ケン ゴン,おもり かり はかる,authority; power; rights
県,ケン,かける,prefecture
肩,ケン,かた,shoulder
賢,ケン,かしこい,intelligent; wise; wisdom; cleverness
軒,ケン,のき,flats; counter for houses; eaves
険,ケン,けわしい,precipitous; inaccessible place; impregnable position; steep place; sharp eyes
原,ゲン,はら,meadow; original; primitive; field; plain; prairie; tundra; wilderness
減,ゲン,へる へらす,dwindle; decrease; reduce; decline; curtail; get hungry
現,ゲン,あらわれる あらわす,present; existing; actual
限,ゲン,かぎる かぎり,limit; restrict; to best of ability
個,コ カ,,individual; counter for articles and military units
呼,コ,よぶ,call; call out to; invite
固,コ,かためる かたまる かたまり かたい,harden; set; clot; curdle
庫,コ ク,くら,warehouse; storehouse
戸,コ,と,door
枯,コ,かれる からす,wither; die; dry up; be seasoned
湖,コ,みずうみ,lake
雇,コ,やとう,employ; hire
互,ゴ,たがい かたみに,mutually; reciprocally; together
御,ギョ ゴ,おん- お- み-,honorable; manipulate; govern
誤,ゴ,あやまる,mistake; err; do wrong; mislead
交,コウ,まじわる まじえる まじる まじる まざる まぜる かわす かわす こもごも,mingle; mixing; association; coming & going
候,コウ,そうろう,climate; season; weather
光,コウ,ひかる ひかり,ray; light
効,コウ,きく ききめ ならう,merit; efficacy; efficiency; benefit
厚,コウ,あつい あか,thick; heavy; rich; kind; cordial; brazen; shameless
向,コウ,むく むい むける むかう むかい むこう むこう- むこ むかい,yonder; facing; beyond; confront; defy; tend toward; approach
好,コウ,このむ すく よい いい,fond; pleasing; like something
幸,コウ,さいわい さち しあわせ,happiness; blessing; fortune
更,コウ,さら さらに ふける ふかす,grow late; night watch; sit up late; of course
構,コウ,かまえる かまう,posture; build; pretend
港,コウ,みなと,harbor
硬,コウ,かたい,stiff; hard
紅,コウ ク,べに くれない あかい,crimson; deep red
耕,コウ,たがやす,till; plow; cultivate
肯,コウ,がえんじる,agreement; consent; comply with
航,コウ,,navigate; sail; cruise; fly
荒,コウ,あらい あら- あれる あらす すさむ,laid waste; rough; rude; wild
講,コウ,,lecture; club; association
郊,コウ,,outskirts; suburbs; rural area
鉱,コウ,あらがね,mineral; ore
降,コウ ゴ,おりる おろす ふる ふり くだる くだす,descend; precipitate; fall; surrender
香,コウ キョウ,か かおり かおる,incense; smell; perfume
号,ゴウ,さけぶ よびな,nickname; number; item; title; pseudonym; name; call
合,ゴウ ガッ カッ,あう あい あい- あわす あわせる,fit; suit; join; 0.1
刻,コク,きざむ きざみ,engrave; cut fine; chop; hash; mince; time; carving
告,コク,つげる,revelation; tell; inform; announce
腰,ヨウ,こし,loins; hips; waist; low wainscoting
骨,コツ,ほね,skeleton; bone; remains; frame
込,,こむ こみ こめる,crowded; mixture; in bulk; included; (kokuji)
困,コン,こまる,quandary; become distressed; annoyed
婚,コン,,marriage
根,コン,ね,root; radical; head (pimple)
混,コン,まじる まざる まぜる こむ,mix; blend; confuse
差,サ,さす さし,distinction; difference; variation; discrepancy; margin; balance
査,サ,,investigate
砂,サ シャ,すな,sand
座,ザ,すわる,squat; seat; cushion; gathering; sit
再,サイ サ,ふたたび,again; twice; second time
最,サイ シュ,もっとも つま,utmost; most; extreme
妻,サイ,つま,wife; spouse
才,サイ,,genius; years old
採,サイ,とる,pick; take; fetch; take up
歳,サイ セイ,とし とせ よわい,year-end; age; occasion; opportunity
済,サイ セイ,すむ すまない すます すくう なす わたし わたる,finish; come to an end; excusable; need not
祭,サイ,まつる まつり まつり,ritual; offer prayers; celebrate; deify; enshrine; worship
細,サイ,ほそい ほそる こまか こまかい,dainty; get thin; taper; slender; narrow
菜,サイ,な,vegetable; side dish; greens
際,サイ,きわ,occasion; side; edge; verge; dangerous; adventurous; indecent; time; when
在,ザイ,ある,exist; outskirts; suburbs; located in
材,ザイ,,lumber; log; timber; wood; talent
罪,ザイ,つみ,guilt; sin; crime; fault; blame; offense
財,ザイ サイ ゾク,,property; money; wealth; assets
坂,ハン,さか,slope; incline; hill
咲,ショウ,さく,blossom; bloom
昨,サク,,yesterday; previous
冊,サツ サク,ふみ,tome; counter for books; volume
刷,サツ,する はく,printing; print
察,サツ,,guess; presume; surmise; judge; understand
札,サツ,ふだ,tag; paper money; counter for bonds; placard; bid
殺,サツ サイ セツ,ころす そぐ,kill; murder; butcher; slice off; split; diminish; reduce; spoil
雑,ザツ ゾウ,まじえる まじる,miscellaneous
皿,ベイ,さら,dish; a helping; plate
参,サン シン,まいる まい- まじわる みつ,nonplussed; three; going; coming; visiting; visit; be defeated; die; be madly in love
散,サン,ちる ちらす ちらかす ちらかる ばら,scatter; disperse; spend; squander
産,サン,うむ うまれる うぶ- むす,products; bear; give birth; yield; childbirth; native; property
算,サン,そろ,calculate; divining; number; abacus; probability
賛,サン,たすける たたえる,approve; praise; title or inscription on picture; assist; agree with
残,ザン サン,のこる のこす そこなう のこり,remainder; leftover; balance
伺,シ,うかがう,pay respects; visit; ask; inquire; question; implore
刺,シ,さす ささる さし さし とげ,thorn; pierce; stab; prick; sting; calling card
史,シ,,history; chronicle
市,シ,いち,market; city; town
師,シ,,expert; teacher; master; army; war
指,シ,ゆび さす,finger; point to; indicate; put into; play (chess); measure (ruler)
支,シ,ささえる つかえる かう しんよう じゅうまた,branch; support; sustain
枝,シ,えだ,bough; branch; twig; limb
糸,シ,いと,thread
脂,シ,あぶら,fat; grease; tallow; lard; rosin; gum; tar
詞,シ,,part of speech; words; poetry
誌,シ,,document; records
資,シ,,assets; resources; capital; funds; data; be conducive to; contribute to
歯,シ,よわい は よわい よわいする,tooth; cog
似,ジ,にる ひる,becoming; resemble; counterfeit; imitate; suitable
児,ジ ニ ゲイ,こ,newborn babe; child; young of animals
寺,ジ,てら,Buddhist temple
次,ジ シ,つぐ つぎ,next; order; sequence
治,ジ チ,おさめる おさまる なおる なおす,reign; be at peace; calm down; subdue; quell; govt; cure; heal; rule; conserve
示,ジ シ,しめす,show; indicate; point out; express; display
耳,ジ,みみ,ear
辞,ジ,やめる,resign; word; term; expression
式,シキ,,style; ceremony; rite; fn; method; system; form; expr
失,シツ,うしなう うせる,lose; error; fault; disadvantage; loss
湿,シツ シュウ,しめる しめす うるおう うるおす,damp; wet; moist
実,ジツ シツ,み みのる まこと まことに みの みちる,reality; truth
捨,シャ,すてる,discard; throw away; abandon; resign; reject; sacrifice
若,ジャク ニャク ニャ,わかい わか- もしくわ もし もしくは,young; if; perhaps; possibly; low number; immature
弱,ジャク,よわい よわる よわまる よわめる,weak; frail
取,シュ,とる とり とり- とり,take; fetch; take up
守,シュ ス,まもる まもり もり かみ,guard; protect; defend; obey
種,シュ,たね,species; kind; class; variety; seed
酒,シュ,さけ さか-,sake; alcohol
首,シュ,くび,neck
受,ジュ,うける うかる,accept; undergo; answer (phone); take; get; catch; receive
収,シュウ,おさめる おさまる,income; obtain; reap; pay; supply; store
周,シュウ,まわり,circumference; circuit; lap
州,シュウ ス,す,state; province
拾,シュウ ジュウ,ひろう,pick up; gather; find; go on foot; ten
舟,シュウ,ふね ふな-,boat; ship
柔,ジュウ ニュウ,やわらか やわらかい やわ やわら,tender; weakness; gentleness; softness
宿,シュク,やど やどる やどす,inn; lodging; relay station; dwell; lodge; be pregnant; home; dwelling
祝,シュク シュウ,いわう,celebrate; congratulate
術,ジュツ,すべ,art; technique; skill; means; trick; resources; magic
述,ジュツ,のべる,mention; state; speak; relate
準,ジュン,じゅんじる じゅんずる なぞらえる のり ひとしい みずもり,semi-; correspond to; proportionate to; conform; imitate
純,ジュン,,genuine; purity; innocence; net (profit)
順,ジュン,,obey; order; turn; right; docility; occasion
処,ショ,ところ おる,dispose; manage; deal with; sentence; condemn; act; behave; place
初,ショ,はじめ はじめて はつ はつ- うい-,first time; beginning
所,ショ,ところ どころ とこ,place
緒,ショ チョ,お いとぐち,thong; beginning; inception; end; cord; strap
署,ショ,,signature; govt office; police station
諸,ショ,もろ,various; many; several; together
助,ジョ,たすける たすかる すける すけ,help; rescue; assist
除,ジョ ジ,のぞく,exclude; division (x/3); remove; abolish; cancel; except
勝,ショウ,かつ まさる すぐれる かつ,victory; win; prevail; excel
召,ショウ,めす,seduce; call; send for; wear; put on; ride in; buy; eat; drink; catch (cold)
商,ショウ,あきなう,make a deal; selling; dealing in; merchant
将,ショウ ソウ,まさに はた まさ ひきいる もって,leader; commander; general; admiral; or; and again; soon; from now on; just about
床,ショウ,とこ ゆか,bed; floor; padding; tatami
承,ショウ,うけたまわる うける,aquiesce; hear; listen to; be informed; receive
招,ショウ,まねく,beckon; invite; summon; engage
昇,ショウ,のぼる,rise up
消,ショウ,きえる けす,extinguish; blow out; turn off; neutralize; cancel
焼,ショウ,やく やき やき- やける,bake; burning
照,ショウ,てる てらす てれる,illuminate; shine; compare; bashful
省,セイ ショウ,かえりみる はぶく,focus; government ministry; conserve
章,ショウ,,badge; chapter; composition; poem; design
笑,ショウ,わらう えむ,laugh
紹,ショウ,,introduce; inherit; help
象,ショウ ゾウ,かたどる,elephant; pattern after; imitate; image; shape; sign (of the times)
賞,ショウ,ほめる,prize; reward; praise
乗,ジョウ ショウ,のる のせる,ride; power; multiplication; record; counter for vehicles; board; mount; join
城,ジョウ,しろ,castle
常,ジョウ,つね とこ-,usual; ordinary; normal; regular
情,ジョウ セイ,なさけ,feelings; emotion; passion; sympathy; circumstances; facts
状,ジョウ,,status quo; conditions; circumstances; form; appearance
畳,ジョウ チョウ,たたむ たたみ かさなる,tatami mat; counter for tatami mats; fold; shut up; do away with
蒸,ジョウ セイ,むす むれる むらす,steam; heat; sultry; foment; get musty
植,ショク,うえる うわる,plant
職,ショク ソク,,post; employment; work
触,ショク,ふれる さわる さわ,contact; touch; feel; hit; proclaim; announce; conflict
伸,シン,のびる のばす のべる のす,expand; stretch; extend; lengthen; increase
信,シン,,faith; truth; fidelity; trust
寝,シン,ねる ねかす いぬ みたまや やめる,lie down; sleep; rest; bed; remain unsold
森,シン,もり,forest; woods
深,シン,ふかい ふかまる ふかめる み-,deep; heighten; intensify; strengthen
申,シン,もうす もうし- さる,speaketh; have the honor to; ninth sign of Chinese zodiac; sign of the monkey
神,シン ジン,かみ かん- こう-,gods; mind; soul
臣,シン ジン,,retainer; subject
身,シン,み,somebody; person; ones station in life
辛,シン,からい つらい かのと,spicy; bitter; hot; acrid
進,シン,すすむ すすめる,advance; proceed; progress; promote
針,シン,はり,needle; pin; staple; stinger
震,シン,ふるう ふるえる,quake; shake; tremble; quiver; shiver
吹,スイ,ふく,blow; breathe; puff; emit; smoke
数,スウ ス サク ソク シュ,かず かぞえる しばしば せめる わずらわしい,number; strength; fate; law; figures
制,セイ,,system; law; rule
勢,セイ ゼイ,いきおい はずみ,forces; energy; military strength
姓,セイ ショウ,,surname
